477;139;107;107;86;2;2;0;7;102;0;
477;139;107;107;86;2;2;0;7;103;0;
677;139;107;107;86;2;1;0;;;;
481;139;109;109;86;2;2;0;7;102;0;
481;139;109;109;86;2;2;0;7;103;0;
681;139;109;109;86;2;1;0;;;;
1764;139;116;116;86;206;1;0;;;;
1766;139;117;117;86;206;1;0;;;;
2421;139;130;128;98;128;151;0;1;1;0;
807;139;131;148;98;128;151;0;;;;
3101;139;134;148;98;128;151;10;1;1;0;
3154;139;134;148;98;128;151;0;;;;
858;139;160;160;82;129;1;0;;;;
2144;139;199;3;86;253;1;0;;;;
2160;139;199;3;86;253;2;0;7;102;;
2160;139;199;3;86;253;2;0;7;103;;
23;143;1;1;86;1;81;0;;;;
25;143;3;1;82;1;81;0;;;;
2495;143;4;40;251;253;81;0;;;;
595;143;50;45;74;2;81;0;;;;
596;143;51;160;78;2;81;0;;;;
591;143;53;96;7;2;81;0;;;;
594;143;103;103;86;2;81;0;;;;
589;143;107;107;86;2;81;0;;;;
593;143;109;109;86;2;81;0;;;;
592;143;118;118;86;2;81;0;;;;
2439;143;130;128;98;128;172;0;1;1;0;
803;143;131;148;98;128;172;0;;;;
3110;143;135;139;98;128;172;1;;;;
2155;143;199;3;86;253;81;0;;;;
1110;143;210;210;86;203;99;0;;;;
1109;143;230;230;86;203;99;0;;;;
1111;143;240;240;86;203;99;0;;;;
38;146;1;1;86;1;83;0;;;;
40;146;3;1;82;1;83;0;;;;
3298;146;130;128;98;128;244;0;;;;
802;146;131;148;98;128;173;0;;;;
3604;146;131;148;98;128;244;0;;;;
2153;146;199;3;86;253;83;0;;;;
3545;146;199;3;86;1;83;0;;;;
1398;146;210;210;86;203;183;0;;;;
1397;146;230;230;86;203;183;0;;;;
1399;146;240;240;86;203;183;0;;;;
68;147;1;1;86;1;86;0;;;;
70;147;3;1;82;1;86;0;;;;
2149;147;199;3;86;253;86;0;;;;
1410;147;210;210;86;203;186;0;;;;
1409;147;230;230;86;203;186;0;;;;
1411;147;240;240;86;203;186;0;;;;
88;148;1;1;86;1;91;0;;;;
90;148;3;1;82;1;91;0;;;;
3390;148;130;128;98;128;31;0;;;;
781;148;131;148;98;128;31;0;;;;
2147;148;199;3;86;253;91;0;;;;
1114;148;210;210;86;203;100;0;;;;
1113;148;230;230;86;203;100;0;;;;
1115;148;240;240;86;203;100;0;;;;
248;149;1;1;86;1;197;0;;;;
250;149;3;1;82;1;197;0;;;;
353;153;1;1;86;1;11;0;;;;
355;153;3;1;82;1;11;0;;;;
2445;153;4;40;251;1;11;0;;;;
2490;153;4;40;251;253;11;0;;;;
2464;153;5;2;88;1;11;0;2;100;500;
2465;153;5;2;88;1;11;0;2;100;850;
2466;153;5;2;88;1;11;0;2;100;925;
2470;153;5;2;88;1;11;0;6;1;2;
2470;153;5;2;88;1;11;0;6;105;2;
2470;153;5;2;88;1;11;0;6;163;2;
2504;153;5;2;88;1;11;1;2;100;500;
2507;153;5;2;88;1;11;1;2;100;850;
2511;153;5;2;88;1;11;1;2;100;925;
2529;153;5;2;88;1;11;1;6;1;2;
2529;153;5;2;88;1;11;1;6;105;2;
2529;153;5;2;88;1;11;1;6;163;2;
2540;153;5;2;88;1;11;0;6;1;10;
2540;153;5;2;88;1;11;0;6;105;10;
2540;153;5;2;88;1;11;0;6;163;10;
2542;153;6;4;88;1;11;0;6;1;2;
2542;153;6;4;88;1;11;0;6;105;2;
2542;153;6;4;88;1;11;0;6;163;2;
